"Order","Family","Genus","Species","Mean_Temp","Mean_Temp_SD","Latitude","Longitude","Captive","Humidity","Start_Date","End_Date","Proportion_Male","Proportion_Female"
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,30.953167,-81.4177315,0,NA,1980-07-01,1980-07-01,0,1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,30.953167,-81.4177315,0,NA,1980-08-01,1980-08-01,0.9,0.1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,33.15484,-79.2162625,0,NA,1982-05-01,1982-05-01,0.7,0.3
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,33.15484,-79.2162625,0,NA,1982-06-01,1982-06-01,0.6,0.4
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,33.15484,-79.2162625,0,NA,1982-06-01,1982-06-01,0.4,0.6
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,33.15484,-79.2162625,0,NA,1982-06-01,1982-06-01,0.6,0.4
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,33.15484,-79.2162625,0,NA,1982-07-01,1982-07-01,0.2,0.8
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,33.15484,-79.2162625,0,NA,1982-07-01,1982-07-01,0.7,0.3
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,33.15484,-79.2162625,0,NA,1982-07-01,1982-07-01,0.3,0.7
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,33.15484,-79.2162625,0,NA,1982-08-01,1982-08-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",26,0.5,-24.793935,152.4418505,0,NA,1979-12-01,1979-12-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",27.5,0.5,-24.793935,152.4418505,0,NA,1979-12-01,1979-12-01,0.555555556,0.444444444
"Testudines","Cheloniidae","Caretta","Caretta_caretta",29,0.5,-24.793935,152.4418505,0,NA,1979-12-01,1979-12-01,0.555555556,0.444444444
